LearningArea,Subject,Pathway,Sequence,Level,AchStd
English,English,,,Foundation Year,"Receptive modes (listening, reading and viewing)
By the end of the Foundation year, students use predicting and questioning strategies to make meaning from texts. They recall one or two events from texts with familiar topics. They understand that there are different types of texts and that these can have similar characteristics. They identify connections between texts and their personal experience.
They read short, decodable and predictable texts with familiar vocabulary and supportive images, drawing on their developing knowledge of concepts of print, sounds and letters and decoding and self-monitoring strategies. They recognise the letters of the English alphabet, in upper and lower case and know and use the most common sounds represented by most letters. They read high-frequency words and blend sounds orally to read consonant-vowel-consonant words. They use appropriate interaction skills to listen and respond to others in a familiar environment. They listen for rhyme, letter patterns and sounds in words.
Productive modes (speaking, writing and creating)
Students understand that their texts can reflect their own experiences. They identify and describe likes and dislikes about familiar texts, objects, characters and events.
In informal group and whole class settings, students communicate clearly. They retell events and experiences with peers and known adults. They identify and use rhyme, and orally blend and segment sounds in words. When writing, students use familiar words and phrases and images to convey ideas. Their writing shows evidence of letter and sound knowledge, beginning writing behaviours and experimentation with capital letters and full stops. They correctly form known upper- and lower-case letters."
English,English,,,Year 1,"Receptive modes (listening, reading and viewing)
By the end of Year 1, students understand the different purposes of texts. They make connections to personal experience when explaining characters and main events in short texts. They identify that texts serve different purposes and that this affects how they are organised. They describe characters, settings and events in different types of literature.
Students read aloud, with developing fluency. They read short texts with some unfamiliar vocabulary, simple and compound sentences and supportive images. When reading, they use knowledge of the relationship between sounds and letters, high-frequency words, sentence boundary punctuation and directionality to make meaning. They recall key ideas and recognise literal and implied meaning in texts. They listen to others when taking part in conversations, using appropriate language features and interaction skills.
Productive modes (speaking, writing and creating)
Students understand how characters in texts are developed and give reasons for personal preferences. They create texts that show understanding of the connection between writing, speech and images.
They create short texts for a small range of purposes. They interact in pair, group and class discussions, taking turns when responding. They make short presentations on familiar topics. When writing, students provide details about ideas or events, and details about the participants in those events. They accurately spell high-frequency words and words with regular spelling patterns. They use capital letters and full stops and form all upper- and lower-case letters correctly."
English,English,,,Year 2,"Receptive modes (listening, reading and viewing)
By the end of Year 2, students understand how similar texts share characteristics by identifying text structures and language features used to describe characters and events, or to communicate factual information.
They read texts that contain varied sentence structures, some unfamiliar vocabulary, a significant number of high-frequency sight words and images that provide extra information. They monitor meaning and self-correct using knowledge of phonics, syntax, punctuation, semantics and context. They use knowledge of a wide variety of letter-sound relationships to read words of one or more syllables with fluency. They identify literal and implied meaning, main ideas and supporting detail. Students make connections between texts by comparing content. They listen for particular purposes. They listen for and manipulate sound combinations and rhythmic sound patterns.
Productive modes (speaking, writing and creating)
When discussing their ideas and experiences, students use everyday language features and topic-specific vocabulary. They explain their preferences for aspects of texts using other texts as comparisons. They create texts that show how images support the meaning of the text.
Students create texts, drawing on their own experiences, their imagination and information they have learnt. They use a variety of strategies to engage in group and class discussions and make presentations. They accurately spell words with regular spelling patterns and spell words with less common long vowel patterns. They use punctuation accurately, and write words and sentences legibly using unjoined upper- and lower-case letters."
English,English,,,Year 3,"Receptive modes (listening, reading and viewing)
By the end of Year 3, students understand how content can be organised using different text structures depending on the purpose of the text. They understand how language features, images and vocabulary choices are used for different effects.
They read texts that contain varied sentence structures, a range of punctuation conventions, and images that provide extra information. They use phonics and word knowledge to fluently read more complex words. They identify literal and implied meaning connecting ideas in different parts of a text. They select information, ideas and events in texts that relate to their own lives and to other texts. They listen to others’ views and respond appropriately using interaction skills.
Productive modes (speaking, writing and creating)
Students understand how language features are used to link and sequence ideas. They understand how language can be used to express feelings and opinions on topics. Their texts include writing and images to express and develop, in some detail, experiences, events, information, ideas and characters. Students create a range of texts for familiar and unfamiliar audiences. They contribute actively to class and group discussions, asking questions, providing useful feedback and making presentations. They demonstrate understanding of grammar and choose vocabulary and punctuation appropriate to the purpose and context of their writing. They use knowledge of letter-sound relationships including consonant and vowel clusters and high-frequency words to spell words accurately. They re-read and edit their writing, checking their work for appropriate vocabulary, structure and meaning. They write using joined letters that are accurately formed and consistent in size."
English,English,,,Year 4,"Receptive modes (listening, reading and viewing)
By the end of Year 4, students understand that texts have different text structures depending on purpose and context. They explain how language features, images and vocabulary are used to engage the interest of audiences. They describe literal and implied meaning connecting ideas in different texts 
They fluently read texts that include varied sentence structures, unfamiliar vocabulary including multisyllabic words. They express preferences for particular types of texts, and respond to others’ viewpoints. They listen for and share key points in discussions.
Productive modes (speaking, writing and creating)
Students use language features to create coherence and add detail to their texts. They understand how to express an opinion based on information in a text. They create texts that show understanding of how images and detail can be used to extend key ideas.
Students create structured texts to explain ideas for different audiences. They make presentations and contribute actively to class and group discussions, varying language according to context. They demonstrate understanding of grammar, select vocabulary from a range of resources and use accurate spelling and punctuation, re-reading and editing their work to improve meaning."
English,English,,,Year 5,"Receptive modes (listening, reading and viewing)
By the end of Year 5, students explain how text structures assist in understanding the text. They understand how language features, images and vocabulary influence interpretations of characters, settings and events.
When reading, they encounter and decode unfamiliar words using phonic, grammatical, semantic and contextual knowledge. They analyse and explain literal and implied information from a variety of texts. They describe how events, characters and settings in texts are depicted and explain their own responses to them. They listen and ask questions to clarify content.
Productive modes (speaking, writing and creating)
Students use language features to show how ideas can be extended. They develop and explain a point of view about a text, selecting information, ideas and images from a range of resources.
Students create imaginative, informative and persuasive texts for different purposes and audiences. They make presentations which include multimodal elements for defined purposes. They contribute actively to class and group discussions, taking into account other perspectives. When writing, they demonstrate understanding of grammar using a variety of sentence types. They select specific vocabulary and use accurate spelling and punctuation. They edit their work for cohesive structure and meaning."
English,English,,,Year 6,"Receptive modes (listening, reading and viewing)
By the end of Year 6, students understand how the use of text structures can achieve particular effects. They analyse and explain how language features, images and vocabulary are used by different authors to represent ideas, characters and events.
Students compare and analyse information in different and complex texts, explaining literal and implied meaning. They select and use evidence from a text to explain their response to it. They listen to discussions, clarifying content and challenging others’ ideas.
Productive modes (speaking, writing and creating)
Students understand how language features and language patterns can be used for emphasis. They show how specific details can be used to support a point of view. They explain how their choices of language features and images are used.
Students create detailed texts elaborating on key ideas for a range of purposes and audiences. They make presentations and contribute actively to class and group discussions, using a variety of strategies for effect. They demonstrate an understanding of grammar, and make considered vocabulary choices to enhance cohesion and structure in their writing. They use accurate spelling and punctuation for clarity and make and explain editorial choices based on criteria."
English,English,,,Year 7,"Receptive modes (listening, reading and viewing)
By the end of Year 7, students understand how text structures can influence the complexity of a text and are dependent on audience, purpose and context. They demonstrate understanding of how the choice of language features, images and vocabulary affects meaning.
Students explain issues and ideas from a variety of sources, analysing supporting evidence and implied meaning. They select specific details from texts to develop their own response, recognising that texts reflect different viewpoints. They listen for and explain different perspectives in texts.
Productive modes (speaking, writing and creating)
Students understand how the selection of a variety of language features can influence an audience. They understand how to draw on personal knowledge, textual analysis and other sources to express or challenge a point of view. They create texts showing how language features and images from other texts can be combined for effect.
Students create structured and coherent texts for a range of purposes and audiences. They make presentations and contribute actively to class and group discussions, using language features to engage the audience. When creating and editing texts they demonstrate understanding of grammar, use a variety of more specialised vocabulary and accurate spelling and punctuation."
English,English,,,Year 8,"Receptive modes (listening, reading and viewing)
By the end of Year 8, students understand how the selection of text structures is influenced by the selection of language mode and how this varies for different purposes and audiences. Students explain how language features, images and vocabulary are used to represent different ideas and issues in texts.
Students interpret texts, questioning the reliability of sources of ideas and information. They select evidence from the text to show how events, situations and people can be represented from different viewpoints. They listen for and identify different emphases in texts, using that understanding to elaborate on discussions.
Productive modes (speaking, writing and creating)
Students understand how the selection of language features can be used for particular purposes and effects. They explain the effectiveness of language choices they make to influence the audience. Through combining ideas, images and language features from other texts, students show how ideas can be expressed in new ways.
Students create texts for different purposes, selecting language to influence audience response. They make presentations and contribute actively to class and group discussions, using language patterns for effect. When creating and editing texts to create specific effects, they take into account intended purposes and the needs and interests of audiences. They demonstrate understanding of grammar, select vocabulary for effect and use accurate spelling and punctuation."
English,English,,,Year 9,"Receptive modes (listening, reading and viewing)
By the end of Year 9, students analyse the ways that text structures can be manipulated for effect. They analyse and explain how images, vocabulary choices and language features distinguish the work of individual authors.
They evaluate and integrate ideas and information from texts to form their own interpretations. They select evidence from texts to analyse and explain how language choices and conventions are used to influence an audience. They listen for ways texts position an audience.
Productive modes (speaking, writing and creating)
Students understand how to use a variety of language features to create different levels of meaning. They understand how interpretations can vary by comparing their responses to texts to the responses of others. In creating texts, students demonstrate how manipulating language features and images can create innovative texts.
Students create texts that respond to issues, interpreting and integrating ideas from other texts. They make presentations and contribute actively to class and group discussions, comparing and evaluating responses to ideas and issues. They edit for effect, selecting vocabulary and grammar that contribute to the precision and persuasiveness of texts and using accurate spelling and punctuation."
