LearningArea,Subject,Pathway,Sequence,Level,Strand,Substrand,CdCode,ContentDesc,CCP
English,English,,,Foundation Year,Language,Language variation and change,ACELA1426,"Understand that English is one of many languages spoken in Australia and that different languages may be spoken by family, classmates and community",
English,English,,,Foundation Year,Language,Language for interaction,ACELA1428,Explore how language is used differently at home and school depending on the relationships between people,
English,English,,,Foundation Year,Language,Language for interaction,ACELA1429,"Understand that language can be used to explore ways of expressing needs, likes and dislikes",
English,English,,,Foundation Year,Language,Text structure and organisation,ACELA1430,"Understand that texts can take many forms, can be very short (for example an exit sign) or quite long (for example an information book or a film) and that stories and informative texts have different purposes",
English,English,,,Foundation Year,Language,Text structure and organisation,ACELA1431,Understand that some language in written texts is unlike everyday spoken language,
English,English,,,Foundation Year,Language,Text structure and organisation,ACELA1432,"Understand that punctuation is a feature of written text different from letters; recognise how capital letters are used for names, and that capital letters and full stops signal the beginning and end of sentences",
English,English,,,Foundation Year,Language,Text structure and organisation,ACELA1433,"Understand concepts about print and screen, including how books, film and simple digital texts work, and know some features of print, for example directionality",
English,English,,,Foundation Year,Language,Expressing and developing ideas,ACELA1435,Recognise that sentences are key units for expressing ideas,
English,English,,,Foundation Year,Language,Expressing and developing ideas,ACELA1434,Recognise that texts are made up of words and groups of words that make meaning,
English,English,,,Foundation Year,Language,Expressing and developing ideas,ACELA1786,Explore the different contribution of words and images to meaning in stories and informative texts,
English,English,,,Foundation Year,Language,Expressing and developing ideas,ACELA1437,"Understand the use of vocabulary in familiar contexts related to everyday experiences, personal interests and topics taught at school",
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1439,"Recognise and generate rhyming words, alliteration patterns, syllables and sounds (phonemes) in spoken words",
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1440,Recognise and name all upper and lower case letters (graphemes) and know the most common sound that each letter represents,
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1438,Understand how to use knowledge of letters and sounds including onset and rime to spell words,
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1817,Know how to read and write some high-frequency words and other familiar words,
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1818,Understand that words are units of meaning and can be made of more than one meaningful part,
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1819,"Segment sentences into individual words and orally blend and segment onset and rime in single syllable spoken words, and isolate, blend and manipulate phonemes in single syllable words",
English,English,,,Foundation Year,Language,Phonics and word knowledge,ACELA1820,"Write consonant-vowel-consonant (CVC) words by representing some sounds with the appropriate letters, and blend sounds associated with letters when reading CVC words",
English,English,,,Foundation Year,Literature,Literature and context,ACELT1575,Recognise that texts are created by authors who tell stories and share experiences that may be similar or different to students’ own experiences,
English,English,,,Foundation Year,Literature,Responding to literature,ACELT1577,"Respond to texts, identifying favourite stories, authors and illustrators",
English,English,,,Foundation Year,Literature,Responding to literature,ACELT1783,Share feelings and thoughts about the events and characters in texts,
English,English,,,Foundation Year,Literature,Examining literature,ACELT1578,Identify some features of texts including events and characters and retell events from a text,
English,English,,,Foundation Year,Literature,Examining literature,ACELT1785,"Recognise some different types of literary texts and identify some characteristic features of literary texts, for example beginnings and endings of traditional texts and rhyme in poetry",
English,English,,,Foundation Year,Literature,Examining literature,ACELT1579,"Replicate the rhythms and sound patterns in stories, rhymes, songs and poems from a range of cultures",
English,English,,,Foundation Year,Literature,Creating literature,ACELT1580,"Retell familiar literary texts through performance, use of illustrations and images",
English,English,,,Foundation Year,Literature,Creating literature,ACELT1831,Innovate on familiar texts through play,
English,English,,,Foundation Year,Literacy,Texts in context,ACELY1645,Identify some familiar texts and the contexts in which they are used,
English,English,,,Foundation Year,Literacy,Interacting with others,ACELY1646,Listen to and respond orally to texts and to the communication of others in informal and structured classroom situations,
English,English,,,Foundation Year,Literacy,Interacting with others,ACELY1784,"Use interaction skills including listening while others speak, using appropriate voice levels, articulation and body language, gestures and eye contact",
English,English,,,Foundation Year,Literacy,Interacting with others,ACELY1647,Deliver short oral presentations to peers,
English,English,,,Foundation Year,Literacy,"Interpreting, analysing, evaluating",ACELY1648,Identify some differences between imaginative and informative texts,
English,English,,,Foundation Year,Literacy,"Interpreting, analysing, evaluating",ACELY1649,"Read decodable and predictable texts, practising phrasing and fluency, and monitor meaning using concepts about print and emerging contextual, semantic, grammatical and phonic knowledge",
English,English,,,Foundation Year,Literacy,"Interpreting, analysing, evaluating",ACELY1650,"Use comprehension strategies to understand and discuss texts listened to, viewed or read independently",
English,English,,,Foundation Year,Literacy,Creating texts,ACELY1651,"Create short texts to explore, record and report ideas and events using familiar words and beginning writing knowledge",
English,English,,,Foundation Year,Literacy,Creating texts,ACELY1652,"Participate in shared editing of students’ own texts for meaning, spelling, capital letters and full stops",
English,English,,,Foundation Year,Literacy,Creating texts,ACELY1653,Produce some lower case and upper case letters using learned letter formations,
English,English,,,Foundation Year,Literacy,Creating texts,ACELY1654,Construct texts using software including word processing programs,
English,English,,,Year 1,Language,Language variation and change,ACELA1443,Understand that people use different systems of communication to cater to different needs and purposes and that many people may use sign systems to communicate with others,
English,English,,,Year 1,Language,Language for interaction,ACELA1444,"Understand that language is used in combination with other means of communication, for example facial expressions and gestures to interact with others",
English,English,,,Year 1,Language,Language for interaction,ACELA1446,"Understand that there are different ways of asking for information, making offers and giving commands",
English,English,,,Year 1,Language,Language for interaction,ACELA1787,"Explore different ways of expressing emotions, including verbal, visual, body language and facial expressions",
English,English,,,Year 1,Language,Text structure and organisation,ACELA1447,Understand that the purposes texts serve shape their structure in predictable ways,
English,English,,,Year 1,Language,Text structure and organisation,ACELA1448,Understand patterns of repetition and contrast in simple texts,
